PACCHETTI BRANDING / IDENTITÀ,,,,,PACCHETTI WEB / DIGITAL,,,,,,,,PACCHETTI SOCIAL MEDIA ,,,EVENTI ,,,,FASHION - MUSIC ,,,,CORPORATE ,,,,COMMERCIAL ADV,,,,8. PACCHETTI PODCAST,,,PACCHETTI PERSONAL BRANDING,,,PACCHETTI SPORT / TEAM / ATLETI,,,,,,PACCHETTI ARTISTI / MUSICA / CREATOR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Identity Start,Brand Identity Pro,Brand Identity Premium,Rebranding,Rebranding Pro,Website Start,Website Pro,Website Premium,E-commerce Start,E-commerce Pro,E-commerce Premium,Landing Campaign,Landing Campaign Pro,Social Start,Social Pro,Social Premium,Video Start, Video Pro ,Video Premium ,Video Luxury,Video Start, Video Pro ,Video Premium ,Video Luxury,Video Start, Video Pro ,Video Premium ,Video Luxury,Video Start, Video Pro ,Video Premium ,Video Luxury,Podcast Start,Podcast Pro,Podcast Premium,Personal Brand Start,Personal Brand Pro ,Personal Brand Premium,Sport Brand Start,Sport Brand Pro ,Sport Brand Premium ,TEAM Brand Start,TEAM Brand Pro,Team Brand Premium,Artist Brand Start,Artist Brand Pro,Artist Team Premium
Logo orizzontale,Sistema cromatico completo,Brand Audit,ANALISI,Nuovo Storytelling,Backup,Portfolio,User Interface,Backup,Vendita,Vendita,,,Tone of Voice base,Funnel Social,Piano editoriale,Montaggio professionale,Backstage,Fotografo dedicato,Fino a 3 operatori video,Color Correction,,Fotografo dedicato,Fino a 3 operatori video,Color Correction,,Fotografo dedicato,Fino a 3 operatori video,Color Correction,,Fotografo dedicato,Fino a 3 operatori video,,Registrazione audio professionale,Multicamera (4 camere),Calendario pubblicazioni,Piano crescita,Piano PR,,,,Piano social,,Produzione,,,Storytelling
Logo verticale,Sistema tipografico completo,Posizionamento Strategico,Analisi Logo,,Sicurezza base,Team,Prototipo,Sicurezza,Checkout avanzato,Cross Selling,SEO,Marketing,Calendario editoriale,,Strategia Video,Color Correction,,Drone (ove consentito),Regista dedicato,Ottimizzazione audio,Post-Produzione,Drone (ove consentito),Regista dedicato,Ottimizzazione audio,Post-Produzione,Drone (ove consentito),Regista dedicato,Ottimizzazione audio,Post-Produzione,Drone (ove consentito),Regista dedicato,Post-Produzione,Regia multicamera,Regia dedicata,,,,Produzione,Produzione,Produzione,,Produzione,Shooting Premium,Produzione,Produzione,
Logo monocromatico,Visual Identity completa,Analisi Differenziazione,Analisi Identità,CHANGE MANAGEMENT,,Testimonianze,,,Coupon,Upselling,SEO Base,CRM,,Produzione,Strategia Stories,Ottimizzazione audio,Post-Produzione,Interviste,Direttore della Fotografia,Titolazione base,Montaggio professionale,Interviste,Direttore della Fotografia,Titolazione base,Montaggio professionale,Interviste,Direttore della Fotografia,Titolazione base,Montaggio professionale,Interviste,Direttore della Fotografia,Montaggio professionale,,Operatori dedicati,Produzione,Produzione,Produzione,Shooting sportivo,Shooting mensile,Shooting mensile,Produzione,Shooting mensile,Mini Serie,Shooting fotografico,Shooting Premium,Produzione
Logo negativo,Visual System completo,,Analisi Materiali,Piano Transizione,Contenuti,,Struttura,Vendita,Gift Card,Bundle,,Email Marketing,Setup,Shooting professionale,Strategia Reels,Titolazione base,Montaggio professionale,Backstage completo,Riprese multicamera,Logo finale,Color Correction accurata,Backstage completo,Riprese multicamera,Logo finale,Color Correction accurata,Backstage completo,Riprese multicamera,Logo finale,Color Correction accurata,Backstage completo,Riprese multicamera,Pulizia audio,Post-Produzione,Illuminotecnica professionale,Shooting fotografico,Shooting mensile,Shooting Premium,3 Reel,Video allenamenti,Video allenamenti,Shooting squadra,Video allenamenti,Documentary stagione,Live Session,Videoclip,Shooting Premium
Favicon,Pattern grafici,STRATEGIA BRAND,Analisi Competitor,Timeline,Inserimento testi,Infrastruttura,Sito multipagina avanzato,Catalogo,Wishlist,Prodotti correlati,Analytics,Automazioni,Ottimizzazione profili,Reel,Piano Campagne,Logo finale,Color Correction accurata,,Fotografi dedicati (fino a 2),,Ottimizzazione audio,,Fotografi dedicati (fino a 2),,Ottimizzazione audio,,Fotografi dedicati (fino a 2),,Ottimizzazione audio,,Fotografi dedicati (fino a 2),Color Correction,Montaggio professionale,Audio professionale,Shooting video,Shooting video,Video Premium,Foto allenamento,Interviste,Interviste,Foto ufficiali,Video partita,Drone,Performance Video,Behind the Scenes,Videoclip Cinematico
Social Icon,Libreria elementi grafici,Mission,Analisi Touchpoint,Cronoprogramma,Inserimento immagini,Dominio,Blog avanzato,Descrizioni,,,Tracciamento conversioni,Lead Magnet,Bio,Carousel,,,Ottimizzazione audio,Post-Produzione,Drone (ove consentito),Deliverables,Motion Graphics base,Post-Produzione,Drone (ove consentito),Deliverables,Motion Graphics base,Post-Produzione,Drone (ove consentito),Deliverables,Motion Graphics base,Post-Produzione,Drone (ove consentito),Copertina episodio,Color Correction,Registrazione Live,2 Reel professionali,6 Reel,12 Reel,,8 Reel,8 Reel,Foto individuali,Interviste,Streaming,4 Reel,Live Performance,Live Session Premium
,Sistema Icone,Vision,Analisi Reputazione,Strategia Comunicazione,Galleria immagini,Hosting,Portfolio avanzato,Prezzi,CRM,Marketing,,,Link,Stories,Produzione,Deliverables,Motion Graphics base,Montaggio cinematografico,Interviste premium,Aftermovie,Lower Third,Montaggio cinematografico,Interviste premium,Aftermovie,Lower Third,Montaggio cinematografico,Interviste premium,Aftermovie,Lower Third,Montaggio cinematografico,Interviste premium,,Audio ottimizzato,Streaming Twitch / YouTube,Foto profilo professionali,Mini interviste,Podcast Clip,Social,,,4 Reel,Backstage,Highlight professionali,,8 Reel,Documentary
VISUAL IDENTITY,,Valori,Analisi Percezione,Comunicazione Interna,Contatti,SSL,Area News,Varianti,CRM Premium,Funnel,,Analytics,Immagine profilo,Shorts,Shooting multipli,Aftermovie,Lower Third,Color Grading professionale,Backstage completo,Versione Full HD,Titolazione professionale,Color Grading professionale,Backstage completo,Versione Full HD,Titolazione professionale,Color Grading professionale,Backstage completo,Versione Full HD,Titolazione professionale,Color Grading professionale,Backstage completo,Distribuzione,Motion Graphics,,,Behind the Scenes,Mini Documentario,Ottimizzazione Instagram,Social,Social,Video presentazione squadra,8 Reel,15 Reel,Social,,Backstage
Palette colori primaria,BRAND ASSETS,Brand Personality,,Comunicazione Clienti,,Backup,FAQ,,Form avanzati,Automazioni,,Google Analytics,Cover,TikTok,Reel Premium,Versione HD,Titolazione professionale,Sound Design,,Versione Web,,Sound Design,,Versione Web,,Sound Design,,Versione Web,,Sound Design,,File Master,Intro,Post-Produzione,Social,,Lifestyle Content,Ottimizzazione LinkedIn,Gestione profilo,Gestione completa,,,,Ottimizzazione profili,Social,15 Reel
Palette colori secondaria,Biglietto da visita,Archetipi,NUOVA IDENTITÀ,Comunicazione Partner,Marketing,Sicurezza avanzata,Area Download,Pagamenti,,Segmentazione clienti,,Google Tag Manager,Highlight Instagram,Behind the Scenes,TikTok,Versione Web,,Mix Audio,Post-Produzione,,Deliverables,Mix Audio,Post-Produzione,,Deliverables,Mix Audio,Post-Produzione,,Deliverables,Mix Audio,Post-Produzione,Versione YouTube,Outro,Montaggio professionale,Ottimizzazione Instagram,Social,,Bio professionale,Community Management,Community Premium,Social,Social,Social,Bio,Gestione Social,
Codici RGB,Carta intestata,Tone of Voice,Nuovo Posizionamento,Piano sostituzione materiali,Newsletter Setup,,,Stripe,Marketing,Loyalty Program,,Pixel Meta,,Mini interviste,Shorts,,Deliverables,Motion Graphics,Montaggio cinematografico,,Aftermovie,Motion Graphics,Montaggio cinematografico,,Aftermovie,Motion Graphics,Montaggio cinematografico,,Aftermovie,Motion Graphics,Montaggio cinematografico,Versione Audio,Copertina episodio,Color Grading,Ottimizzazione LinkedIn,Gestione profilo,Social,Link in Bio,Gestione messaggi,Crisis Management,Ottimizzazione profili,Gestione Social,Gestione completa,Link in Bio,Piano editoriale,Social
Codici CMYK,Firma email,Messaggi Chiave,Restyling Logo,,Form contatti,Contenuti,Funzionalità,PayPal,Newsletter,,,A/B Test,Produzione,,Podcast Clip,,Aftermovie,Logo Animation,Color Grading avanzato,,Highlight Video,Logo Animation,Color Grading avanzato,,Highlight Video,Logo Animation,Color Grading avanzato,,Highlight Video,Logo Animation,Color Grading avanzato,,,Sound Design,Bio professionale,Community Management,Gestione completa,,,,Grafiche partita,Community Management,Live Coverage,,Community,Gestione Social
Codici HEX,Template Word,Slogan,Logo System,AGGIORNAMENTO MATERIALI,Automazioni email base,Inserimento contenuti,CRM Premium,Bonifico,Recupero carrello,Analytics,,,Shooting mensile,Copywriting,Video Lifestyle,,Highlight Video,VFX base,Sound Design professionale,,Versione Social,VFX base,Sound Design professionale,,Versione Social,VFX base,Sound Design professionale,,Versione Social,VFX base,Sound Design professionale,,Distribuzione,Mix Audio,Link in Bio,Gestione messaggi,Community Premium,Contenuti,Contenuti,Contenuti,Stories Match Day,Match Coverage,Community Premium,Promozione,,Community Management
Font principale,Template Google Docs,Payoff,Nuova Palette,Biglietti,,Ottimizzazione immagini,Form avanzati,,Email automatiche,Dashboard completa,,Ottimizzazione,Reel,Caption professionali,Video Corporate,,Versione Social,Sottotitoli,Mix Audio,,Versione Web,Sottotitoli,Mix Audio,,Versione Web,Sottotitoli,Mix Audio,,Versione Web,Sottotitoli,Mix Audio,,Upload YouTube,Motion Graphics Premium,,,Crisis Management,Stories,Copywriting,Script Video,,,,Cover Release,Marketing,
Font secondario,Template PowerPoint,Manifesto,Nuova Tipografia,Carta intestata,SEO,Copy base,Area riservata,Marketing,Pixel Meta,KPI,,CRO (Conversion Rate Optimization),Carousel,Hook,UGC,,Versione Web,,Motion Graphics Premium,,,,Motion Graphics Premium,,,,Motion Graphics Premium,,,,Motion Graphics Premium,,Upload Spotify,Intro animata,Contenuti,Contenuti,,Highlights,Script Reel,Script Podcast,Contenuti,Contenuti,Contenuti,Stories,EPK,Marketing
Gerarchia tipografica,Template Google Slides,Storytelling,Nuovo Visual System,Firma Email,SEO Base,,Multi lingua,Newsletter,,Report,,Heatmap,Stories,Storytelling,Testimonial,,,Deliverables,Logo Animation,,,Deliverables,Logo Animation,,,Deliverables,Logo Animation,,,Deliverables,Logo Animation,,RSS Feed,Outro animata,Caption,Copywriting,Contenuti,,Stories,Newsletter,Stories,Copywriting,Script Video,Teaser,Press Kit,Campagna lancio
Visual Identity Base,Template Canva,,Nuovi Elementi Grafici,Presentazioni,Sitemap XML,Funzionalità,Ricerca interna,Automazioni,Blog,,,Report Conversioni,Foto,CTA avanzate,,,,Aftermovie,VFX,,,Aftermovie,VFX,,,Aftermovie,VFX,,,Aftermovie,VFX,,Thumbnail YouTube,Lower Third,Stories,Script Reel,Script Video,Consulenza,Carousel,LinkedIn Articles,Highlights,Script Reel,Script Podcast,,Media Kit,Ufficio stampa
Mini Visual System,Template Presentazione,MARKETING,,Template,Indicizzazione Google,CRM,Filtri,,Blog aziendale,SEO,,,,,Copywriting,,,Highlight Video,Sottotitoli multilingua,,,Highlight Video,Sottotitoli multilingua,,,Highlight Video,Sottotitoli multilingua,,,Highlight Video,Sottotitoli multilingua,,,Copertina episodio,Cover Highlight,Stories,Script Podcast,Call strategica iniziale,,LinkedIn Articles,Team Presentation,Stories,Newsletter,,Pitch Festival / Label,PR
Elementi grafici base,Template Preventivi,Value Proposition,AGGIORNAMENTO,Banner,Meta Title,Form avanzati,Calendario prenotazioni,SEO,,SEO Avanzata,,,Copywriting,Gestione,Script Reel,,,Teaser,,,,Teaser,,,,Teaser,,,,Teaser,,,,,,Carousel,Newsletter,,Consulenza,,Media Kit base,Carousel,LinkedIn Articles,,,Sponsor Deck
,Template Fatture,USP,Template Social,Packaging,Meta Description,Newsletter,Chat,SEO Base,Analytics,,,,Caption,Community Management,Script Video,,,Versione 16:9,Deliverables,,,Versione 16:9,Deliverables,,,Versione 16:9,Deliverables,,,Versione 16:9,Deliverables,,,Distribuzione,Consulenza,,LinkedIn Articles,,Call mensile,Consulenza,,,LinkedIn Articles,,Consulenza,Partnership Kit
SOCIAL KIT,,Elevator Pitch,Cover,Merchandising,,Automazioni email,,,Google Analytics,Performance,,,Hashtag,Risposta commenti,Storytelling,,,Versione 9:16,Aftermovie Premium,,,Versione 9:16,Aftermovie Premium,,,Versione 9:16,Aftermovie Premium,,,Versione 9:16,Aftermovie Premium,,,Upload YouTube,Call strategica iniziale,Consulenza,,,,Coaching personale,Marketing,Marketing,,,Call mensile,
Immagine profilo,SOCIAL KIT,Customer Experience,Banner,Website (Web+),Analytics,Prenotazioni (base),Marketing,Analytics,Dashboard vendite,CDN,,,CTA,Risposta messaggi,Newsletter,,,Versione 1:1,Highlight Film,,,Versione 1:1,Highlight Film,,,Versione 1:1,Highlight Film,,,Versione 1:1,Highlight Film,,,Upload Spotify,,Call mensile,Consulenza,,Marketing,Supervisione Creativa,Team Presentation,Sponsor Deck,Marketing,,,Distribuzione
Cover Facebook,Template Post,Brand Experience,Motion Logo,Social (Social+),Google Search Console,Google Maps,Funnel base,Google Analytics,,Cache,,,,Moderazione,,,,,Trailer,,,,Trailer,,,,Trailer,,,,Trailer,,,Upload Apple Podcast,,,Coaching personale,,Media Kit,Call Strategica,Media Kit base,Media Kit completo,Sponsor Management,,,Piano Spotify
Cover LinkedIn,Template Stories,Funnel consigliato,,,,,Lead Magnet,,,Speed Optimization,,,Gestione,,Community,,,,Teaser,,,,Teaser,,,,Teaser,,,,Teaser,,,Upload Amazon Music,,,Supervisione Creativa,,Presentazione Sponsor,,,Press Kit,Press Office,,,Piano YouTube
,Template Carousel,KPI iniziali,DOCUMENTAZIONE,LANCIO,Consegna,SEO,Pop-up,,,,,,Pubblicazione contenuti,Analytics,Community Management Premium,,,,Reel verticali,,,,Reel verticali,,,,Reel verticali,,,,Reel verticali,,,RSS Feed,,,Call Strategica,,,Marketing,Consulenza,,Partnership Kit,,,Piano TikTok
MOTION,Cover Facebook,Canali prioritari,Brand Guidelines,Motion Logo Premium,Accessi amministratore,SEO completo,Newsletter,,,Gestione,,,Programmazione contenuti,KPI,Gestione recensioni,,,,Versione 16:9,,,,Versione 16:9,,,,Versione 16:9,,,,Versione 16:9,,,Thumbnail personalizzata,,,,,,Media Kit,Call strategica iniziale,Consulenza,Investor Deck,,,Piano Instagram
Motion Logo Base,Cover Instagram,,Brand Manual aggiornato,Video Lancio (Video+),Manuale utilizzo base,URL ottimizzati,Automazioni,,,Hosting,,,,Report avanzato,Gestione crisi,,,,Versione 9:16,,,,Versione 9:16,,,,Versione 9:16,,,,Versione 9:16,,,,,,,,,Presentazione Sponsor,,Call mensile,,,,
,Cover LinkedIn,STRATEGIA COMUNICAZIONE,,Shooting Fotografico (Photo+),,Sitemap,Remarketing,,,Monitoraggio,,,Analytics,Analisi performance,Customer Care Social,,,,Versione 1:1,,,,Versione 1:1,,,,Versione 1:1,,,,Versione 1:1,,,,,,,,,,,,Consulenza,,,Consulenza
DELIVERABLES,Cover YouTube,Strategia Comunicativa,DELIVERABLES,Campagna Social (Social+),,Redirect,,,,Backup,,,Report mensile base,,,,,,File Master,,,,File Master,,,,File Master,,,,File Master,,,,,,,,,,,,Supervisione Creativa,,,Coaching Artistico
PNG,Banner ADV,Strategia Contenuti,File Web,Campagna Advertising (ADV+),,Robots.txt,SEO,,,,,,,,Analytics,,,,Archivio completo delle riprese,,,,Archivio completo delle riprese,,,,Archivio completo delle riprese,,,,Archivio completo delle riprese,WEB +,,,,,,,,,,,Direzione Comunicazione,,,Supervisione Creativa
JPG,,Piano Editoriale iniziale,File Stampa,Comunicato Stampa,,,SEO Avanzata,,,,,,,,Dashboard KPI,,,,Backup dei file per il cliente,,,,Backup dei file per il cliente,,,,Backup dei file per il cliente,,,,Backup dei file per il cliente,,,,,,,,,,,,Call mensile,,,Call Strategica
PDF,MOCKUP,Concept Campagne,File Sorgenti,Evento di Lancio (opzionale),,Analytics,SEO Tecnica,,,,,,,,Report dettagliato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVG,Mockup Biglietto,Piano Lancio,Cartella Rebranding,,,Google Analytics 4,SEO Locale,,,,,,,,Analisi competitor,WEB +,,,,WEB +,,,,WEB +,,,,WEB +,,,,Landing Podcast,1'500 CHF,,WEB +,,,WEB +,,,WEB +,,,WEB +,,
AI,Mockup Insegna,,,SUPERVISIONE,,Pixel Meta,Schema.org,,,,,,,,Piano miglioramento,,,,,,,,,,,,,,,,,Sito Podcast,3'500 CHF,,,,,,,,,,,,,
EPS,Mockup Packaging,DIREZIONE CREATIVA,,Supervisione Creativa,,,Core Web Vitals,,,,,,,,,,,,,,,,,,,,,,,,,Archivio Episodi,1'000 CHF,"(piu il podcast è famoso e + si spende di banda, (percio il prezzo puo salire visto che bisogna pagarla)",,,,,,,,,,,,
File Web,Mockup Merchandising,Moodboard,,Controllo Coerenza,,Legale,,,,,,,,,Consulenza,Landing Page evento,1'500 CHF,,,Landing Page evento,1'500 CHF,,,Landing Page evento,1'500 CHF,,,Landing Page evento,1'500 CHF,,,Blog Podcast,1'500 CHF,,Landing Web,1'500 CHF,,Landing Web,1'500 CHF,,Landing Web,1'500 CHF,,Landing Web,1'500 CHF,
File Stampa,Mockup Veicolo,Direzione Artistica,,Controllo Materiali,,Cookie Banner,Analytics,,,,,,,,Call mensile,Sito evento,3'000 CHF,,,Sito evento,3'500 CHF,,,Sito evento,3'500 CHF,,,Sito evento,3'500 CHF,,,Newsletter,500 CHF,,Complex Web,3'500 CHF,,Complex Web,3'500 CHF,,Complex Web,3'500 CHF,,Complex Web,3'500 CHF,
File Vettoriali,Mockup Social,Supervisione Creativa,,Ottimizzazioni,,Privacy Policy,Google Analytics 4,,,,,,,,Consulenza Strategica,Pagina iscrizioni,500 CHF,,,Pagina iscrizioni,500 CHF,,,Pagina iscrizioni,700 CHF,,,Pagina iscrizioni,500 CHF,,,SEO Podcast,1'000 CHF,,Blog,1'500 CHF,,Blog,1'500 CHF,,Blog,1'500 CHF,,Blog,1'500 CHF,
Logo Kit,Mockup Professionali,Consulenza Creativa,,Supporto 30 giorni,,,Google Tag Manager,,,,,,,,Supervisione Creativa,Pagina sponsor,500 CHF,,,Pagina sponsor,500 CHF,,,Pagina sponsor,500 CHF,,,Pagina sponsor,500 CHF,,,Area Premium,2'000 CHF,,Newsletter,500 CHF,,Newsletter,500 CHF,,Newsletter,500 CHF,,Newsletter,500 CHF,
Mini guida utilizzo logo (3-5 pagine),,Linea Fotografica,,Supporto 60 giorni (opzionale),,Consegna,Pixel Meta,,,,,,,,,Programma online,500 CHF,,,Programma online,500 CHF,,,Programma online,500 CHF,,,Programma online,500 CHF,,,CRM,1'500 CHF,,SEO,1'000 CHF,,SEO,1'000 CHF,,SEO,1'000 CHF,,SEO,1'000 CHF,
,DOCUMENTAZIONE,Linea Video,,Supporto 90 giorni (opzionale),,Manuale utilizzo,Heatmap,,,,,,,,,Form iscrizione,500 CHF,,,Form iscrizione,500 CHF,,,Form iscrizione,500 CHF,,,Form iscrizione,500 CHF,,,,,,Area Premium,2'000 CHF,,Area Premium,2'000 CHF,,Area Premium,2'000 CHF,,Area Premium,2'000 CHF,
,Brand Guidelines,Linea Motion,,,,Video tutorial,Dashboard,,,,,,,,,Biglietteria online,2'500 CHF,,,Biglietteria online,2'500 CHF,,,Biglietteria online,2'500 CHF,,,Biglietteria online,2'500 CHF,,,,,,CRM,1'500 CHF,,CRM,1'500 CHF,,CRM,1'500 CHF,,CRM,1'500 CHF,
